ID,Speaker,utterance,annotation,list-ID
389,FAT,"fais pipi là alors , là , ici ! [media]","[NULL,NULL,NULL]",2
390,FAT,tu veux faire ton pipi ? [media],"[NULL,NULL,NULL]",1
390,FAT,tu veux faire ton pipi ? [media],"[NULL,NULL,NULL]",2
391,FAT,là ici dans le trou Adrien ! [media],"[NULL,NULL,NULL]",1
391,FAT,là ici dans le trou Adrien ! [media],"[NULL,NULL,NULL]",2
392,FAT,"Adrien , dans le trou là ! [media]","[NULL,NULL,NULL]",1
392,FAT,"Adrien , dans le trou là ! [media]","[NULL,NULL,NULL]",2
393,FAT,tu veux faire ton pipi ou pas ? [media],"[NULL,NULL,NULL]",1
393,FAT,tu veux faire ton pipi ou pas ? [media],"[NULL,NULL,NULL]",2
394,CHI,yyy yyy yyy yyy yyy yyy yyy yyy . [media],"[NULL,NULL,NULL]",1
394,CHI,yyy yyy yyy yyy yyy yyy yyy yyy . [media],"[NULL,NULL,NULL]",2
395,FAT,vas y ! [media],"[NULL,NULL,NULL]",1
395,FAT,vas y ! [media],"[NULL,NULL,NULL]",2
396,FAT,tu fais pipi dans le trou ? [media],"[NULL,NULL,NULL]",1
396,FAT,tu fais pipi dans le trou ? [media],"[NULL,NULL,NULL]",2
397,CHI,xxx froid ! [media],"[NULL,NULL,NULL]",1
397,CHI,xxx froid ! [media],"[NULL,NULL,NULL]",2
398,FAT,"tu veux qu'on mette du froid sur le zizi , mais tu rigoles ! [media]","[NULL,NULL,NULL]",1
398,FAT,"tu veux qu'on mette du froid sur le zizi , mais tu rigoles ! [media]","[NULL,NULL,NULL]",2
399,FAT,c'est bon c'est fini ? [media],"[NULL,NULL,NULL]",1
399,FAT,c'est bon c'est fini ? [media],"[NULL,NULL,NULL]",2
400,FAT,"allez on va se dépêcher de se doucher , tu t'assoies ? [media]","[NULL,NULL,NULL]",1
400,FAT,"allez on va se dépêcher de se doucher , tu t'assoies ? [media]","[NULL,NULL,NULL]",2
401,FAT,tu t'assois mon bonhomme ? [media],"[NULL,NULL,NULL]",1
401,FAT,tu t'assois mon bonhomme ? [media],"[NULL,NULL,NULL]",2
